,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,33.1,27.3,121.0,37.2,33.4,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,9.7,8.9,109.0,31.5,26.6,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,23.2,19.3,120.0,28.2,24.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,47.45,-115.7,594,15B02S,Lookout,5190,21.3,20.0,106.0,29.9,28.9,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,32.2,23.7,136.0,47.8,39.8,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,14.6,10.1,145.0,18.1,14.7,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,33.5,21.9,153.0,33.0,22.8,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,18.5,17.3,107.0,33.4,26.3,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,2012-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,29.8,27.3,109.0,34.4,33.4,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,2012-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,11.5,8.9,129.0,23.2,26.6,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,2012-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,21.0,19.3,109.0,24.9,24.5,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,47.45,-115.7,594,15B02S,Lookout,5190,19.6,20.0,98.0,24.0,28.9,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,2012-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,27.9,23.7,118.0,36.7,39.8,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,12.3,10.1,122.0,17.2,14.7,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,2012-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,21.8,21.9,100.0,23.6,22.8,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,13.6,17.3,79.0,20.4,26.3,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2013-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,25.8,27.3,95.0,36.3,33.4,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,2013-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,7.2,8.9,81.0,30.0,26.6,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,2013-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,15.6,19.3,81.0,26.2,24.5,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,2013-02-10,47.45,-115.7,594,15B02S,Lookout,5190,15.7,20.0,78.0,29.9,28.9,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,2013-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,24.2,23.7,102.0,44.1,39.8,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,2013-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,8.7,10.1,86.0,18.2,14.7,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,2013-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,21.1,21.9,96.0,24.1,22.8,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,2013-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,12.1,17.3,70.0,26.2,26.3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,2014-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,23.5,27.3,86.0,23.1,33.4,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,2014-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,10.1,8.9,113.0,18.8,26.6,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,2014-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,19.8,19.3,103.0,18.5,24.5,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,2014-02-10,47.45,-115.7,594,15B02S,Lookout,5190,13.4,20.0,67.0,16.9,28.9,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,2014-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,22.2,23.7,94.0,25.7,39.8,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,2014-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,10.3,10.1,102.0,12.3,14.7,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,2014-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,21.2,21.9,97.0,19.3,22.8,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,2014-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,12.3,17.3,71.0,16.2,26.3,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,2015-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,23.9,27.3,88.0,33.8,33.4,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,2015-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,7.4,8.9,83.0,30.7,26.6,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,2015-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,18.8,19.3,97.0,29.4,24.5,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,2015-02-10,47.45,-115.7,594,15B02S,Lookout,5190,10.0,20.0,50.0,28.4,28.9,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,2015-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,15.4,23.7,65.0,45.9,39.8,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,2015-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,10.4,10.1,103.0,18.5,14.7,126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,2015-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,26.9,21.9,123.0,28.0,22.8,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,2015-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,9.9,17.3,57.0,24.7,26.3,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,2016-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,23.7,27.3,87.0,31.2,33.4,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,2016-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,9.1,8.9,102.0,24.1,26.6,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,2016-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,16.6,19.3,86.0,24.8,24.5,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,2016-02-10,47.45,-115.7,594,15B02S,Lookout,5190,16.4,20.0,82.0,27.7,28.9,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,2016-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,20.0,23.7,84.0,40.1,39.8,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,2016-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,8.6,10.1,85.0,14.9,14.7,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,2016-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,19.4,21.9,89.0,21.2,22.8,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,2016-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,11.1,17.3,64.0,18.4,26.3,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,2017-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,26.4,27.3,97.0,39.8,33.4,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,2017-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,9.6,8.9,108.0,30.8,26.6,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,2017-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,19.9,19.3,103.0,25.6,24.5,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,2017-02-10,47.45,-115.7,594,15B02S,Lookout,5190,17.2,20.0,86.0,32.9,28.9,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,2017-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,23.1,23.7,97.0,50.4,39.8,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,2017-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,11.4,10.1,113.0,21.7,14.7,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,2017-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,20.2,21.9,92.0,26.1,22.8,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,2017-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,13.4,17.3,77.0,26.8,26.3,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,2018-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,34.2,27.3,125.0,39.6,33.4,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,2018-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,11.0,8.9,124.0,33.1,26.6,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,2018-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,22.4,19.3,116.0,29.9,24.5,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,2018-02-10,47.45,-115.7,594,15B02S,Lookout,5190,19.3,20.0,96.0,32.5,28.9,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,2018-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,32.7,23.7,138.0,47.8,39.8,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,2018-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,13.4,10.1,133.0,20.5,14.7,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,2018-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,31.2,21.9,142.0,30.7,22.8,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,2018-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,19.2,17.3,111.0,29.1,26.3,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,2019-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,23.2,27.3,85.0,28.7,33.4,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,2019-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,8.3,8.9,93.0,22.2,26.6,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,2019-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,17.4,19.3,90.0,23.4,24.5,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,2019-02-10,47.45,-115.7,594,15B02S,Lookout,5190,19.0,20.0,95.0,23.3,28.9,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,2019-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,21.2,23.7,89.0,32.5,39.8,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,2019-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,9.3,10.1,92.0,16.0,14.7,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,2019-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,18.7,21.9,85.0,20.8,22.8,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,2019-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,12.4,17.3,72.0,17.2,26.3,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,2020-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,28.5,27.3,104.0,29.2,33.4,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,2020-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,12.5,8.9,140.0,24.9,26.6,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,2020-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,20.4,19.3,106.0,22.6,24.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,2020-02-10,47.45,-115.7,594,15B02S,Lookout,5190,19.1,20.0,96.0,25.9,28.9,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,2020-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,26.2,23.7,111.0,36.1,39.8,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,2020-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,11.7,10.1,116.0,16.1,14.7,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,2020-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,25.0,21.9,114.0,23.6,22.8,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,2020-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,16.5,17.3,95.0,19.0,26.3,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,2021-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,24.3,27.3,89.0,29.5,33.4,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,2021-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,14.0,8.9,157.0,27.1,26.6,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,2021-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,18.0,19.3,93.0,25.2,24.5,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,2021-02-10,47.45,-115.7,594,15B02S,Lookout,5190,17.8,20.0,89.0,27.9,28.9,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,2021-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,20.6,23.7,87.0,37.4,39.8,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,2021-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,9.7,10.1,96.0,17.1,14.7,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,2021-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,20.4,21.9,93.0,20.6,22.8,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,2021-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,13.3,17.3,77.0,20.6,26.3,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,1990-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,34.2,27.3,125.0,43.6,33.4,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,1990-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,11.4,8.9,128.0,37.0,26.6,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,1990-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,24.1,19.3,125.0,32.6,24.5,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,1990-02-10,47.45,-115.7,594,15B02S,Lookout,5190,28.0,20.0,140.0,40.3,28.9,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,1990-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,14.65,23.7,103.0,19.4,39.8,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,1990-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,14.65,10.1,103.0,19.4,14.7,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,1990-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,26.3,17.3,152.0,39.0,26.3,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,1990-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,14.65,21.9,103.0,19.4,22.8,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,1991-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,37.8,27.3,138.0,39.4,33.4,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,1991-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,8.3,8.9,93.0,36.5,26.6,137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,1991-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,21.4,19.3,111.0,28.9,24.5,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,1991-02-10,47.45,-115.7,594,15B02S,Lookout,5190,21.9,20.0,110.0,37.0,28.9,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,1991-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,10.4,23.7,76.0,16.5,39.8,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,1991-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,27.2,17.3,157.0,38.4,26.3,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,1991-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,10.4,21.9,76.0,16.5,22.8,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,1991-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,10.4,10.1,76.0,16.5,14.7,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,1992-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,27.2,27.3,100.0,29.5,33.4,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,1992-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,11.7,8.9,131.0,24.8,26.6,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,1992-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,19.3,19.3,100.0,24.3,24.5,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,1992-02-10,47.45,-115.7,594,15B02S,Lookout,5190,22.0,20.0,110.0,26.1,28.9,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,1992-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,10.5,23.7,77.0,15.6,39.8,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,1992-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,24.1,17.3,139.0,25.0,26.3,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,1992-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,10.5,21.9,77.0,15.6,22.8,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,1992-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,10.0,10.1,99.0,15.6,14.7,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,1993-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,23.0,27.3,84.0,24.1,33.4,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,1993-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,8.0,8.9,90.0,19.2,26.6,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,1993-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,17.1,19.3,89.0,20.0,24.5,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,1993-02-10,47.45,-115.7,594,15B02S,Lookout,5190,23.8,20.0,119.0,25.2,28.9,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,1993-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,19.2,17.3,111.0,22.5,26.3,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,1993-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,16.0,21.9,107.0,19.2,22.8,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,1993-02-10,47.1833333,-114.3333333,783,14B05S,Sleeping Woman,6150,10.2,10.1,101.0,12.3,14.7,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,1993-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,16.0,23.7,107.0,19.2,39.8,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,1994-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,18.0,27.3,66.0,20.8,33.4,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
